EA Sports Active 2,Wii,2010,Sports,Electronic Arts,1.26,79,8,8.1,22,E
2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts,1.23,82,56,7.8,58,E
FIFA Soccer 11,PSP,2010,Sports,Electronic Arts,1.2,68,6,5.4,9,E
Crackdown 2,X360,2010,Shooter,Microsoft Game Studios,1.12,70,91,6,202,M
Dantes Inferno,PS3,2010,Action,Electronic Arts,1.08,75,69,7.5,267,M
FIFA Soccer 11,Wii,2010,Sports,Electronic Arts,1.07,73,17,7.3,8,E
Army of Two: The 40th Day,X360,2010,Shooter,Electronic Arts,0.95,73,79,7.3,126,M
Lost Planet 2,PS3,2010,Shooter,Capcom,0.95,68,56,6.9,62,T
NCAA Football 11,X360,2010,Sports,Electronic Arts,0.92,86,29,7.1,70,E
Dantes Inferno,X360,2010,Action,Electronic Arts,0.92,73,71,7.7,225,M
EA Sports Active 2,PS3,2010,Sports,Electronic Arts,0.92,78,20,5.4,14,E
Xenoblade Chronicles,Wii,2010,Role-Playing,Nintendo,0.91,92,59,8.9,957,T
2010 FIFA World Cup South Africa,X360,2010,Sports,Electronic Arts,0.85,83,61,8.1,58,E
NCAA Football 11,PS3,2010,Sports,Electronic Arts,0.85,85,22,7.4,25,E
Army of Two: The 40th Day,PS3,2010,Shooter,Electronic Arts,0.85,74,56,7,88,M
Tiger Woods PGA Tour 11,PS3,2010,Sports,Electronic Arts,0.83,78,40,6.7,17,E
Golden Sun: Dark Dawn,DS,2010,Role-Playing,Nintendo,0.79,79,63,8.1,87,E10+
Lost Planet 2,X360,2010,Shooter,Capcom,0.76,68,63,6.1,102,T
NHL 11,X360,2010,Sports,Electronic Arts,0.73,88,49,7.7,71,E10+
Madden NFL 11,Wii,2010,Sports,Electronic Arts,0.73,75,6,5.4,7,E
Monopoly Streets,Wii,2010,Misc,Electronic Arts,0.72,65,9,5.2,5,E
Battlefield: Bad Company 2,PC,2010,Shooter,Electronic Arts,0.72,87,46,8.3,1476,M
The Sims 3,DS,2010,Simulation,Electronic Arts,0.67,73,9,6.4,20,E
Fossil Fighters: Champions,DS,2010,Role-Playing,Nintendo,0.67,68,8,7.1,11,E
Sengoku Basara: Samurai Heroes,PS3,2010,Action,Capcom,0.64,61,37,7.9,29,T
NHL 11,PS3,2010,Sports,Electronic Arts,0.59,88,38,7.1,54,E10+
Tetris Party Deluxe,Wii,2010,Puzzle,Nintendo,0.56,72,19,5.8,4,E
Tiger Woods PGA Tour 11,Wii,2010,Sports,Electronic Arts,0.54,84,29,8.3,23,E
Harry Potter and the Deathly Hallows - Part 1,Wii,2010,Action,Electronic Arts,0.54,41,8,5,11,T
Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,2010,Fighting,Capcom,0.53,85,62,8.8,85,T
Tiger Woods PGA Tour 11,X360,2010,Sports,Electronic Arts,0.52,79,51,7.8,19,E
Major League Baseball 2K10,X360,2010,Sports,Take-Two Interactive,0.51,76,26,7.6,38,E
Medal of Honor,PC,2010,Shooter,Electronic Arts,0.49,72,26,6.4,518,M
FlingSmash,Wii,2010,Action,Nintendo,0.47,48,26,6.8,13,E
2010 FIFA World Cup South Africa,PSP,2010,Sports,Electronic Arts,0.47,69,11,7.4,9,E
The Sims 3: Ambitions,PC,2010,Simulation,Electronic Arts,0.46,74,25,7.3,51,T
Need for Speed: Hot Pursuit,Wii,2010,Racing,Electronic Arts,0.46,50,8,3.7,18,E10+
Harry Potter and the Deathly Hallows - Part 1,X360,2010,Action,Electronic Arts,0.45,38,42,5,46,T
OkamiDen,DS,2010,Adventure,Capcom,0.43,82,48,7.9,53,E10+
2010 FIFA World Cup South Africa,Wii,2010,Sports,Electronic Arts,0.42,70,19,6.7,11,E
NHL Slapshot,Wii,2010,Sports,Electronic Arts,0.42,76,25,8.1,7,E
Harry Potter and the Deathly Hallows - Part 1,DS,2010,Action,Electronic Arts,0.41,56,6,6,4,E10+
NBA Jam,Wii,2010,Sports,Electronic Arts,0.4,79,43,8.5,20,E
Mafia II,PC,2010,Action,Take-Two Interactive,0.4,77,46,7.9,1253,M
NBA Jam,PS3,2010,Sports,Electronic Arts,0.4,71,33,5.7,14,E
Harry Potter and the Deathly Hallows - Part 1,PS3,2010,Action,Electronic Arts,0.39,38,27,2.8,23,T
Mass Effect 2,PC,2010,Role-Playing,Electronic Arts,0.39,94,55,8.8,3585,M
NBA Jam,X360,2010,Sports,Electronic Arts,0.39,75,30,7,24,E
Monopoly Streets,PS3,2010,Misc,Electronic Arts,0.39,64,11,6.1,9,E
EA Sports Active 2,X360,2010,Sports,Electronic Arts,0.39,68,21,5.4,9,E
Ghost Trick: Phantom Detective,DS,2010,Adventure,Capcom,0.38,83,60,9,127,T
Need for Speed: Hot Pursuit,PC,2010,Racing,Electronic Arts,0.37,86,14,6.7,559,E10+
EA Sports MMA,PS3,2010,Fighting,Electronic Arts,0.37,77,47,6.9,38,T
Dark Void,PS3,2010,Action,Capcom,0.35,59,50,6,36,T
EA Sports MMA,X360,2010,Fighting,Electronic Arts,0.35,79,63,7,55,T
Army of Two: The 40th Day,PSP,2010,Shooter,Electronic Arts,0.32,49,11,6,32,M
Dark Void,X360,2010,Action,Capcom,0.31,59,69,6,61,T
Mega Man Zero Collection,DS,2010,Platform,Capcom,0.31,78,15,8.9,39,E
MySims SkyHeroes,Wii,2010,Action,Electronic Arts,0.29,67,9,5.2,5,E10+
Sengoku Basara: Samurai Heroes,Wii,2010,Action,Capcom,0.29,65,18,8.8,13,T
Monopoly Streets,X360,2010,Misc,Electronic Arts,0.28,66,18,6.6,16,E
NHL 2K11,Wii,2010,Sports,Take-Two Interactive,0.27,62,12,5.8,4,E10+
Americas Test Kitchen: Lets Get Cooking,DS,2010,Simulation,Nintendo,0.26,87,4,5.6,9,E
BioShock 2,PC,2010,Shooter,Take-Two Interactive,0.24,88,36,8,1258,M
MotoGP 09/10,PS3,2010,Racing,Capcom,0.22,70,42,5.4,28,E
Solatorobo: Red the Hunter,DS,2010,Role-Playing,Nintendo,0.2,76,40,8,24,E10+
Dantes Inferno,PSP,2010,Action,Electronic Arts,0.19,70,14,8.1,46,M
NBA 2K11,PC,2010,Action,Take-Two Interactive,0.19,82,6,8.6,37,E
Major League Baseball 2K10,PS3,2010,Sports,Take-Two Interactive,0.19,74,19,5.3,4,E
FIFA Soccer 11,PC,2010,Sports,Electronic Arts,0.18,83,16,7.7,102,E
MotoGP 09/10,X360,2010,Racing,Capcom,0.17,69,41,5.7,41,E
Create,PS3,2010,Action,Electronic Arts,0.16,61,23,5.2,5,E
Dead Rising 2,PC,2010,Action,Capcom,0.14,78,17,6.3,213,M
Create,X360,2010,Action,Electronic Arts,0.14,60,19,5.8,10,E
Harry Potter and the Deathly Hallows - Part 1,PC,2010,Action,Electronic Arts,0.1,37,5,4.1,33,T
MySims SkyHeroes,X360,2010,Action,Electronic Arts,0.1,56,15,5.5,4,E10+
Create,PC,2010,Action,Electronic Arts,0.06,54,7,6.8,9,E
Lost Planet 2,PC,2010,Shooter,Capcom,0.03,63,15,6.3,87,T
Dark Void,PC,2010,Action,Capcom,0.02,57,22,5.1,67,T
